Address_Hex,Address_Dec,Name,Type,Active,Status
0x0000,0,Meldergruppe 1,meldergruppen,False,Inactive
0x0001,1,Meldergruppe 2,meldergruppen,False,Inactive
0x0002,2,Meldergruppe 3,meldergruppen,False,Inactive
0x0003,3,Meldergruppe 4,meldergruppen,False,Inactive
0x0004,4,Meldergruppe 5,meldergruppen,False,Inactive
0x0005,5,Meldergruppe 6,meldergruppen,False,Inactive
0x0006,6,Meldergruppe 7,meldergruppen,True,ACTIVE
0x0007,7,Meldergruppe 8,meldergruppen,False,Inactive
0x0008,8,Meldergruppe 9,meldergruppen,False,Inactive
0x0009,9,Meldergruppe 10,meldergruppen,False,Inactive
0x000A,10,Meldergruppe 11,meldergruppen,False,Inactive
0x000B,11,Meldergruppe 12,meldergruppen,False,Inactive
0x000C,12,Meldergruppe 13,meldergruppen,False,Inactive
0x000D,13,Meldergruppe 14,meldergruppen,False,Inactive
0x000E,14,Meldergruppe 15,meldergruppen,False,Inactive
0x000F,15,Meldergruppe 16,meldergruppen,False,Inactive
0x0010,16,Meldergruppe 17,meldergruppen,False,Inactive
0x0011,17,Meldergruppe 18,meldergruppen,False,Inactive
0x0012,18,Meldergruppe 19,meldergruppen,False,Inactive
0x0013,19,Meldergruppe 20,meldergruppen,False,Inactive
0x0014,20,Meldergruppe 21,meldergruppen,False,Inactive
0x0015,21,Meldergruppe 22,meldergruppen,False,Inactive
0x0016,22,Meldergruppe 23,meldergruppen,False,Inactive
0x0017,23,Meldergruppe 24,meldergruppen,False,Inactive
0x0018,24,Meldergruppe 25,meldergruppen,False,Inactive
0x0019,25,Meldergruppe 26,meldergruppen,False,Inactive
0x001A,26,Meldergruppe 27,meldergruppen,False,Inactive
0x001B,27,Meldergruppe 28,meldergruppen,False,Inactive
0x001C,28,Meldergruppe 29,meldergruppen,False,Inactive
0x001D,29,Meldergruppe 30,meldergruppen,False,Inactive
0x001E,30,Meldergruppe 31,meldergruppen,False,Inactive
0x001F,31,Meldergruppe 32,meldergruppen,False,Inactive
0x0020,32,Eingang 0x0020,unknown,False,Inactive
0x0021,33,Eingang 0x0021,unknown,False,Inactive
0x0022,34,Eingang 0x0022,unknown,False,Inactive
0x0023,35,Eingang 0x0023,unknown,False,Inactive
0x0024,36,Eingang 0x0024,unknown,False,Inactive
0x0025,37,Eingang 0x0025,unknown,False,Inactive
0x0026,38,Eingang 0x0026,unknown,False,Inactive
0x0027,39,Eingang 0x0027,unknown,False,Inactive
0x0028,40,Melderbus Strang 1 Adresse 1,melderbus,False,Inactive
0x0029,41,Melderbus Strang 1 Adresse 2,melderbus,False,Inactive
0x002A,42,Melderbus Strang 1 Adresse 3,melderbus,False,Inactive
0x002B,43,Melderbus Strang 1 Adresse 4,melderbus,False,Inactive
0x002C,44,Melderbus Strang 1 Adresse 5,melderbus,False,Inactive
0x002D,45,Melderbus Strang 1 Adresse 6,melderbus,False,Inactive
0x002E,46,Melderbus Strang 1 Adresse 7,melderbus,False,Inactive
0x002F,47,Melderbus Strang 1 Adresse 8,melderbus,False,Inactive
0x0030,48,Melderbus Strang 1 Adresse 9,melderbus,False,Inactive
0x0031,49,Melderbus Strang 1 Adresse 10,melderbus,False,Inactive
0x0032,50,Melderbus Strang 1 Adresse 11,melderbus,False,Inactive
0x0033,51,Melderbus Strang 1 Adresse 12,melderbus,False,Inactive
0x0034,52,Melderbus Strang 1 Adresse 13,melderbus,False,Inactive
0x0035,53,Melderbus Strang 1 Adresse 14,melderbus,False,Inactive
0x0036,54,Melderbus Strang 1 Adresse 15,melderbus,False,Inactive
0x0037,55,Melderbus Strang 1 Adresse 16,melderbus,False,Inactive
0x0038,56,Melderbus Strang 1 Adresse 17,melderbus,False,Inactive
0x0039,57,Melderbus Strang 1 Adresse 18,melderbus,False,Inactive
0x003A,58,Melderbus Strang 1 Adresse 19,melderbus,False,Inactive
0x003B,59,Melderbus Strang 1 Adresse 20,melderbus,False,Inactive
0x003C,60,Melderbus Strang 1 Adresse 21,melderbus,False,Inactive
0x003D,61,Melderbus Strang 1 Adresse 22,melderbus,False,Inactive
0x003E,62,Melderbus Strang 1 Adresse 23,melderbus,False,Inactive
0x003F,63,Melderbus Strang 1 Adresse 24,melderbus,False,Inactive
0x0040,64,Melderbus Strang 1 Adresse 25,melderbus,False,Inactive
0x0041,65,Melderbus Strang 1 Adresse 26,melderbus,False,Inactive
0x0042,66,Melderbus Strang 1 Adresse 27,melderbus,False,Inactive
0x0043,67,Melderbus Strang 1 Adresse 28,melderbus,False,Inactive
0x0044,68,Melderbus Strang 1 Adresse 29,melderbus,False,Inactive
0x0045,69,Melderbus Strang 1 Adresse 30,melderbus,False,Inactive
0x0046,70,Melderbus Strang 1 Adresse 31,melderbus,False,Inactive
0x0047,71,Melderbus Strang 1 Adresse 32,melderbus,False,Inactive
0x0048,72,Melderbus Strang 1 Adresse 33,melderbus,False,Inactive
0x0049,73,Melderbus Strang 1 Adresse 34,melderbus,False,Inactive
0x004A,74,Melderbus Strang 1 Adresse 35,melderbus,False,Inactive
0x004B,75,Melderbus Strang 1 Adresse 36,melderbus,False,Inactive
0x004C,76,Melderbus Strang 1 Adresse 37,melderbus,False,Inactive
0x004D,77,Melderbus Strang 1 Adresse 38,melderbus,False,Inactive
0x004E,78,Melderbus Strang 1 Adresse 39,melderbus,False,Inactive
0x004F,79,Melderbus Strang 1 Adresse 40,melderbus,False,Inactive
0x0050,80,Melderbus Strang 1 Adresse 41,melderbus,False,Inactive
